content_id,client_id,baseline_score,baseline_action,baseline_reason_code,avg_position,days_since_last_update,ctr,word_count,impressions_90d
content_b928313b1f13,client_8722616204,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.0,4940.0,1
content_460e2d90ecfa,client_8722616204,90,prune,LOW_IMPRESSIONS_OLD_PAGE,10.0,104,0.0,4571.0,1
content_d0532868ad11,client_19581e27de,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.11,,898
content_c06a2fe22f4f,client_19581e27de,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.0,,1579
content_838ce89e04f2,client_624b60c58c,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.0,1576.0,332
content_ee9bf1dc39ac,client_19581e27de,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.14,,6499
content_1b1fc63709a3,client_d59eced1de,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.0,1725.0,62
content_aea21c6e219f,client_6208ef0f77,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.88,6035.0,3524
content_b1fe4f67e498,client_19581e27de,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.31,,2275
content_bc5ec602d0b6,client_6208ef0f77,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.28,5031.0,27509
content_85bf6763d5c5,client_4e07408562,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.0,,573
content_b41fb554d71c,client_3fdba35f04,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.0,1681.0,162
content_00b467976cbd,client_4ec9599fc2,90,prune,LOW_IMPRESSIONS_OLD_PAGE,10.0,104,0.0,1319.0,1
content_a14ef0a34e81,client_19581e27de,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.12,,6736
content_f45a1dec11bc,client_19581e27de,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.0,,231
content_42db64fba733,client_6208ef0f77,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.25,5804.0,17359
content_28ce9207afa4,client_8527a891e2,90,prune,LOW_IMPRESSIONS_OLD_PAGE,10.0,104,0.0,4182.0,5
content_9d52d957232b,client_3fdba35f04,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.18,1299.0,2817
content_7bba5d83959a,client_7f2253d7e2,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,106,0.33,3052.0,2724
content_fbbacf50108d,client_8527a891e2,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,92,0.09,1723.0,1130
content_84d8a9360764,client_8722616204,90,rewrite metadata,LOW_CTR_ON_PAGE_1,10.0,104,0.0,4915.0,1
